Name,Position,Height,Weight,Age,Experience
A.J. Green,"Shooting Guard


  
  ▪",193,200,24,1
Aaron Gordon,"Power Forward and Small Forward


  
  ▪",203,235,28,9
Aaron Holiday,"Point Guard


  
  ▪",183,185,27,5
Aaron Nesmith,"Small Forward


  
  ▪",196,215,24,3
Aaron Wiggins,"Shooting Guard


  
  ▪",198,200,25,2
Admiral Schofield,"Power Forward and Small Forward


  
  ▪",196,241,27,3
Al Horford,"Center


  
  ▪",206,240,37,16
Alec Burks,"Shooting Guard and Small Forward


  
  ▪",198,214,32,12
Aleksej Pokusevski,"Power Forward


  
  ▪",213,190,22,3
Alex Caruso,"Point Guard and Shooting Guard


  
  ▪",196,186,30,6
Alex Len,"Center


  
  ▪",213,250,30,10
Alondes Williams,"Shooting Guard


  
  ▪",193,210,24,1
Alperen Sengun,"Center


  
  ▪",211,235,21,2
Andre Drummond,"Center


  
  ▪",211,279,30,11
Andre Iguodala,Small Forward,198,215,40,Unknown
Andrew Nembhard,"Point Guard and Shooting Guard


  
  ▪",196,193,24,1
Andrew Wiggins,"Small Forward and Power Forward


  
  ▪",201,197,29,9
Anfernee Simons,"Shooting Guard


  
  ▪",190,181,24,5
Anthony Davis,"Center and Power Forward


  
  ▪",208,253,31,11
Anthony Edwards,"Shooting Guard


  
  ▪",193,225,22,3
Anthony Gill,"Power Forward


  
  ▪",201,230,31,3
Anthony Lamb,"Small Forward


  
  ▪",198,227,26,3
Armoni Brooks,"Point Guard and Shooting Guard


  
  ▪",190,195,25,2
Austin Reaves,"Shooting Guard


  
  ▪",196,206,25,2
Austin Rivers,"Shooting Guard and Point Guard


  
  ▪",193,200,31,11
Avery Bradley,"Shooting Guard and Point Guard


  
  ▪",190,180,33,Unknown
Ayo Dosunmu,"Shooting Guard


  
  ▪",196,200,24,2
Ben Simmons,"Point Guard


  
  ▪",208,240,27,5
Blake Griffin,"Power Forward and Center


  
  ▪",206,250,35,Unknown
Blake Wesley,"Shooting Guard


  
  ▪",196,185,21,1
Bobby Portis,"Power Forward and Center


  
  ▪",208,250,29,8
Bojan Bogdanović,"Small Forward and Power Forward


  
  ▪",201,226,35,9
Bojan Bogdanović,"Small Forward and Power Forward


  
  ▪",201,226,35,9
Manute Bol,"Center


  
  ▪",231,200,61,Unknown
Bradley Beal,"Shooting Guard


  
  ▪",193,207,30,11
Brandon Boston Jr.,"Small Forward and Shooting Guard


  
  ▪",201,185,22,2
Brandon Clarke,"Power Forward


  
  ▪",203,215,27,4
Brandon Ingram,"Small Forward and Power Forward


  
  ▪",203,190,26,7
Brandon Knight,"Point Guard and Shooting Guard


  
  ▪",188,182,32,Unknown
