,Player,Days Since Last Injury,Got Injured,core,upper body,ligament,foot,back
0, (Sean) Chris Smith,284,0,0,0,0,0,0
1, A.J. Green,64,0,0,0,0,0,0
2, Aaron Gordon,5,0,0,0,0,1,0
3, Aaron Holiday,310,0,0,0,0,0,0
4, Aaron Nesmith,9,0,0,0,0,1,0
5, Aaron Wiggins,294,0,0,0,0,0,0
6, Admiral Schofield,90,1,0,0,0,0,0
7, Al Horford,27,0,0,0,0,0,3
8, Alec Burks,74,0,0,0,0,1,0
9, Aleksej Pokusevski,3,1,0,0,0,0,0
10, Alex Caruso,21,0,0,0,0,0,2
11, Alex Len,271,1,0,0,0,0,2
12, Alondes Williams,32,0,0,0,0,0,0
13, Alperen Sengun,69,1,0,0,0,0,0
14, Andre Drummond,64,0,0,0,0,0,0
15, Andre Iguodala,74,1,0,0,0,0,3
16, Andrew Nembhard,41,0,0,0,0,0,0
17, Andrew Wiggins,27,1,0,0,0,2,1
18, Anfernee Simons,58,0,0,0,0,1,0
19, Anthony Davis,14,1,0,0,0,3,1
20, Anthony Edwards,303,0,0,0,0,0,0
21, Anthony Gill,364,0,0,0,0,0,0
22, Anthony Lamb,284,1,0,0,0,0,0
23, Armoni Brooks,357,0,0,0,0,0,0
24, Austin Reaves,13,0,0,0,0,0,0
25, Austin Rivers,53,0,0,0,0,0,0
26, Avery Bradley,320,0,0,0,0,0,0
27, Ayo Dosunmu,327,0,0,0,0,0,0
28, Ben Simmons,22,0,0,0,0,0,1
29, Blake Griffin,3,0,0,0,0,0,0
30, Blake Wesley,61,0,0,0,0,0,0
31, Bobby Portis,266,0,0,0,0,0,0
32, Bogdan Bogdanovic,77,1,0,0,0,0,0
33, Bojan Bogdanovic,35,0,0,0,0,0,0
34, Bol Bol,292,1,0,0,0,2,0
35, Bradley Beal,4,1,0,0,0,0,0
36, Brandon Boston Jr. / B.J. Boston Jr.,282,0,0,0,0,0,0
37, Brandon Clarke,283,0,0,0,0,0,1
38, Brandon Ingram,35,1,0,0,0,0,0
39, Brandon Knight,268,1,0,0,0,0,0
40, Brandon Williams (b. 1975-02-27),272,0,0,0,0,0,0
41, Brodric Thomas,364,0,0,0,0,0,1
42, Brook Lopez,267,0,0,0,0,0,2
43, Bruce Brown,4,0,0,0,0,0,0
